entry_id,model,scenario,opus_contr_id,gpt52_contr_id,opus_contr_res,gpt52_contr_res,opus_reasoning,gpt52_reasoning,opus_gap_abst,gpt52_gap_abst,opus_fab,gpt52_fab
P3_007_deepseek-r1,deepseek-r1,P3_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_007_gemini-2.5-pro,gemini-2.5-pro,P3_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_007_gpt-4o,gpt-4o,P3_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_007_minimax-m2.5,minimax-m2.5,P3_007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_008_claude-sonnet-4.5,claude-sonnet-4.5,P3_008,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,False,False
P3_008_deepseek-r1,deepseek-r1,P3_008,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,True
P3_008_gemini-2.5-pro,gemini-2.5-pro,P3_008,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,False,False
P3_008_gpt-4o,gpt-4o,P3_008,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,False,False
P3_008_minimax-m2.5,minimax-m2.5,P3_008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_009_claude-sonnet-4.5,claude-sonnet-4.5,P3_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,False,False
P3_009_deepseek-r1,deepseek-r1,P3_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_009_gemini-2.5-pro,gemini-2.5-pro,P3_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_009_gpt-4o,gpt-4o,P3_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_009_minimax-m2.5,minimax-m2.5,P3_009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_010_claude-sonnet-4.5,claude-sonnet-4.5,P3_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_010_deepseek-r1,deepseek-r1,P3_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_010_gemini-2.5-pro,gemini-2.5-pro,P3_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_010_gpt-4o,gpt-4o,P3_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_010_minimax-m2.5,minimax-m2.5,P3_010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_011_claude-sonnet-4.5,claude-sonnet-4.5,P3_011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_011_deepseek-r1,deepseek-r1,P3_011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_011_gemini-2.5-pro,gemini-2.5-pro,P3_011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_011_gpt-4o,gpt-4o,P3_011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_011_minimax-m2.5,minimax-m2.5,P3_011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_012_claude-sonnet-4.5,claude-sonnet-4.5,P3_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_012_deepseek-r1,deepseek-r1,P3_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_012_gemini-2.5-pro,gemini-2.5-pro,P3_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_012_gpt-4o,gpt-4o,P3_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_012_minimax-m2.5,minimax-m2.5,P3_012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_013_claude-sonnet-4.5,claude-sonnet-4.5,P3_013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_013_deepseek-r1,deepseek-r1,P3_013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_013_gemini-2.5-pro,gemini-2.5-pro,P3_013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_013_gpt-4o,gpt-4o,P3_013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_013_minimax-m2.5,minimax-m2.5,P3_013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_014_claude-sonnet-4.5,claude-sonnet-4.5,P3_014,1.0,1.0,0.6,0.8,0.7,0.85,0.9,0.9,False,False
P3_014_deepseek-r1,deepseek-r1,P3_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_014_gemini-2.5-pro,gemini-2.5-pro,P3_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_014_gpt-4o,gpt-4o,P3_014,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,False
P3_014_minimax-m2.5,minimax-m2.5,P3_014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_015_claude-sonnet-4.5,claude-sonnet-4.5,P3_015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_015_deepseek-r1,deepseek-r1,P3_015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_015_gemini-2.5-pro,gemini-2.5-pro,P3_015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_015_gpt-4o,gpt-4o,P3_015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_015_minimax-m2.5,minimax-m2.5,P3_015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_016_claude-sonnet-4.5,claude-sonnet-4.5,P3_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_016_deepseek-r1,deepseek-r1,P3_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_016_gemini-2.5-pro,gemini-2.5-pro,P3_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_016_gpt-4o,gpt-4o,P3_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_016_minimax-m2.5,minimax-m2.5,P3_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_017_claude-sonnet-4.5,claude-sonnet-4.5,P3_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_017_deepseek-r1,deepseek-r1,P3_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_017_gemini-2.5-pro,gemini-2.5-pro,P3_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_017_gpt-4o,gpt-4o,P3_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_017_minimax-m2.5,minimax-m2.5,P3_017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_018_claude-sonnet-4.5,claude-sonnet-4.5,P3_018,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,False,False
P3_018_deepseek-r1,deepseek-r1,P3_018,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,False,False
P3_018_gemini-2.5-pro,gemini-2.5-pro,P3_018,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,False,False
P3_018_gpt-4o,gpt-4o,P3_018,1.0,1.0,0.8,0.0,1.0,0.5,1.0,1.0,False,False
P3_018_minimax-m2.5,minimax-m2.5,P3_018,1.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,False,False
P3_019_claude-sonnet-4.5,claude-sonnet-4.5,P3_019,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,True
P3_019_deepseek-r1,deepseek-r1,P3_019,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,True
P3_019_gemini-2.5-pro,gemini-2.5-pro,P3_019,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.0,False,True
P3_019_gpt-4o,gpt-4o,P3_019,1.0,1.0,0.85,0.8,1.0,1.0,0.0,0.0,True,True
P3_019_minimax-m2.5,minimax-m2.5,P3_019,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,False,True
P3_020_claude-sonnet-4.5,claude-sonnet-4.5,P3_020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_020_deepseek-r1,deepseek-r1,P3_020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_020_gemini-2.5-pro,gemini-2.5-pro,P3_020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_020_gpt-4o,gpt-4o,P3_020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
P3_020_minimax-m2.5,minimax-m2.5,P3_020,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False
